state,year,per_capita_student_debt
AK,2003,680
AL,2003,880
AR,2003,710
AZ,2003,1080
CA,2003,970
CO,2003,1380
CT,2003,1010
DC,2003,3120
DE,2003,990
FL,2003,840
GA,2003,1110
HI,2003,730
IA,2003,1500
ID,2003,1240
IL,2003,1150
IN,2003,950
KS,2003,1140
KY,2003,830
LA,2003,990
MA,2003,1400
MD,2003,1250
ME,2003,1190
MI,2003,1120
MN,2003,1430
MO,2003,1060
MS,2003,810
MT,2003,1270
NC,2003,780
ND,2003,1840
NE,2003,1430
NH,2003,1360
NJ,2003,1050
NM,2003,830
NV,2003,730
NY,2003,1420
OH,2003,1210
OK,2003,830
OR,2003,1090
PA,2003,1270
PR,2003,500
RI,2003,1380
SC,2003,710
SD,2003,1770
TN,2003,800
TX,2003,910
UT,2003,780
VA,2003,1110
VT,2003,1990
WA,2003,980
WI,2003,1180
WV,2003,950
WY,2003,670
AK,2004,1730
AL,2004,1090
AR,2004,1010
AZ,2004,1520
CA,2004,1340
CO,2004,1790
CT,2004,1550
DC,2004,4350
DE,2004,1350
FL,2004,1150
GA,2004,1440
HI,2004,960
IA,2004,1830
ID,2004,1450
IL,2004,1570
IN,2004,1300
KS,2004,1630
KY,2004,1020
LA,2004,1550
MA,2004,2050
MD,2004,1790
ME,2004,1340
MI,2004,1420
MN,2004,1840
MO,2004,1490
MS,2004,1130
MT,2004,1770
NC,2004,990
ND,2004,2020
NE,2004,1270
NH,2004,2010
NJ,2004,1570
NM,2004,1290
NV,2004,980
NY,2004,1940
OH,2004,1570
OK,2004,1270
OR,2004,1490
PA,2004,1780
PR,2004,650
RI,2004,1790
SC,2004,960
SD,2004,1930
TN,2004,1140
TX,2004,1250
UT,2004,1180
VA,2004,1580
VT,2004,2210
WA,2004,1350
WI,2004,1400
WV,2004,1190
WY,2004,1220
AK,2005,1910
AL,2005,1240
AR,2005,1160
AZ,2005,1670
CA,2005,1480
CO,2005,1930
CT,2005,1770
DC,2005,4560
DE,2005,1460
FL,2005,1320
GA,2005,1670
HI,2005,1090
IA,2005,2040
ID,2005,1680
IL,2005,1750
IN,2005,1480
KS,2005,1840
KY,2005,1180
LA,2005,1690
MA,2005,2250
MD,2005,1970
ME,2005,1460
MI,2005,1600
MN,2005,2080
MO,2005,1610
MS,2005,1300
MT,2005,1640
NC,2005,1200
ND,2005,2240
NE,2005,1440
NH,2005,2320
NJ,2005,1760
NM,2005,1490
NV,2005,1110
NY,2005,2090
OH,2005,1790
OK,2005,1470
OR,2005,1700
PA,2005,1890
PR,2005,720
RI,2005,1830
SC,2005,1300
SD,2005,2160
TN,2005,1300
TX,2005,1470
UT,2005,1340
VA,2005,1660
VT,2005,2230
WA,2005,1500
WI,2005,1600
WV,2005,1330
WY,2005,1240
AK,2006,2250
AL,2006,1490
AR,2006,1460
AZ,2006,1930
CA,2006,1780
CO,2006,2290
CT,2006,2210
DC,2006,5900
DE,2006,1920
FL,2006,1580
GA,2006,2060
HI,2006,1360
IA,2006,2400
ID,2006,2020
IL,2006,2200
IN,2006,1830
KS,2006,2160
KY,2006,1450
LA,2006,1970
MA,2006,2740
MD,2006,2380
ME,2006,1880
MI,2006,1920
MN,2006,2450
MO,2006,1970
MS,2006,1680
MT,2006,2170
NC,2006,1530
ND,2006,2620
NE,2006,1650
NH,2006,2680
NJ,2006,2210
NM,2006,1760
NV,2006,1260
NY,2006,2640
OH,2006,2210
OK,2006,1750
OR,2006,2050
PA,2006,2410
PR,2006,870
RI,2006,2160
SC,2006,1800
SD,2006,2340
TN,2006,1560
TX,2006,1740
UT,2006,1680
VA,2006,2030
VT,2006,2840
WA,2006,1810
WI,2006,1900
WV,2006,1710
WY,2006,1570
AK,2007,2340
AL,2007,1770
AR,2007,1690
AZ,2007,2170
CA,2007,2000
CO,2007,2520
CT,2007,2500
DC,2007,6430
DE,2007,2200
FL,2007,1840
GA,2007,2410
HI,2007,1500
IA,2007,2760
ID,2007,2170
IL,2007,2520
IN,2007,2120
KS,2007,2490
KY,2007,1740
LA,2007,2190
MA,2007,3070
MD,2007,2620
ME,2007,2230
MI,2007,2190
MN,2007,2900
MO,2007,2260
MS,2007,1980
MT,2007,2360
NC,2007,1790
ND,2007,3020
NE,2007,1870
NH,2007,3090
NJ,2007,2540
NM,2007,1970
NV,2007,1530
NY,2007,2960
OH,2007,2590
OK,2007,1960
OR,2007,2340
PA,2007,2750
PR,2007,990
RI,2007,2310
SC,2007,2120
SD,2007,2810
TN,2007,1810
TX,2007,1970
UT,2007,1860
VA,2007,2270
VT,2007,3130
WA,2007,2060
WI,2007,2190
WV,2007,1970
WY,2007,1870
AK,2008,2530
AL,2008,2160
AR,2008,1990
AZ,2008,2500
CA,2008,2350
CO,2008,3240
CT,2008,2950
DC,2008,7420
DE,2008,2570
FL,2008,2260
GA,2008,2900
HI,2008,1800
IA,2008,3260
ID,2008,2400
IL,2008,2950
IN,2008,2680
KS,2008,3060
KY,2008,2180
LA,2008,2560
MA,2008,3600
MD,2008,3060
ME,2008,3050
MI,2008,2700
MN,2008,3330
MO,2008,2700
MS,2008,2390
MT,2008,2680
NC,2008,2140
ND,2008,3260
NE,2008,3090
NH,2008,3460
NJ,2008,2950
NM,2008,2190
NV,2008,1860
NY,2008,3450
OH,2008,3060
OK,2008,2400
OR,2008,2710
PA,2008,3200
PR,2008,1070
RI,2008,2870
SC,2008,2430
SD,2008,3250
TN,2008,2190
TX,2008,2350
UT,2008,2210
VA,2008,2690
VT,2008,3780
WA,2008,2300
WI,2008,2530
WV,2008,2320
WY,2008,2090
AK,2009,2850
AL,2009,2470
AR,2009,2260
AZ,2009,2890
CA,2009,2650
CO,2009,3630
CT,2009,3250
DC,2009,7920
DE,2009,2900
FL,2009,2590
GA,2009,3330
HI,2009,2020
IA,2009,3570
ID,2009,2840
IL,2009,3310
IN,2009,3030
KS,2009,3320
KY,2009,2500
LA,2009,2910
MA,2009,3900
MD,2009,3520
ME,2009,3360
MI,2009,3120
MN,2009,3730
MO,2009,3110
MS,2009,2820
MT,2009,2950
NC,2009,2480
ND,2009,3600
NE,2009,3290
NH,2009,3730
NJ,2009,3300
NM,2009,2440
NV,2009,2080
NY,2009,3820
OH,2009,3490
OK,2009,2700
OR,2009,3090
PA,2009,3600
PR,2009,1250
RI,2009,3200
SC,2009,2820
SD,2009,3450
TN,2009,2460
TX,2009,2680
UT,2009,2500
VA,2009,3070
VT,2009,3850
WA,2009,2540
WI,2009,2870
WV,2009,2580
WY,2009,2270
AK,2010,3140
AL,2010,2790
AR,2010,2620
AZ,2010,3220
CA,2010,2960
CO,2010,4000
CT,2010,3660
DC,2010,8700
DE,2010,3340
FL,2010,2940
GA,2010,3830
HI,2010,2270
IA,2010,3880
ID,2010,3160
IL,2010,3720
IN,2010,3490
KS,2010,3630
KY,2010,2850
LA,2010,3130
MA,2010,4380
MD,2010,4040
ME,2010,3600
MI,2010,3500
MN,2010,4200
MO,2010,3470
MS,2010,3150
MT,2010,3210
NC,2010,2800
ND,2010,3870
NE,2010,3750
NH,2010,3980
NJ,2010,3680
NM,2010,2720
NV,2010,2290
NY,2010,4200
OH,2010,3940
OK,2010,2940
OR,2010,3440
PA,2010,3950
PR,2010,1420
RI,2010,3750
SC,2010,3210
SD,2010,3740
TN,2010,2820
TX,2010,2990
UT,2010,2730
VA,2010,3410
VT,2010,4070
WA,2010,2820
WI,2010,3240
WV,2010,2840
WY,2010,2480
AK,2011,3390
AL,2011,2990
AR,2011,2840
AZ,2011,3420
CA,2011,3140
CO,2011,4280
CT,2011,3890
DC,2011,9640
DE,2011,3630
FL,2011,3210
GA,2011,4210
HI,2011,2350
IA,2011,4170
ID,2011,3340
IL,2011,4030
IN,2011,3790
KS,2011,3920
KY,2011,3080
LA,2011,3390
MA,2011,4580
MD,2011,4270
ME,2011,3720
MI,2011,3800
MN,2011,4600
MO,2011,3760
MS,2011,3560
MT,2011,3420
NC,2011,3050
ND,2011,4150
NE,2011,3890
NH,2011,4370
NJ,2011,3980
NM,2011,3010
NV,2011,2460
NY,2011,4440
OH,2011,4220
OK,2011,3210
OR,2011,3720
PA,2011,4290
PR,2011,1510
RI,2011,3600
SC,2011,3500
SD,2011,3950
TN,2011,3090
TX,2011,3240
UT,2011,3030
VA,2011,3690
VT,2011,4070
WA,2011,3030
WI,2011,3470
WV,2011,2990
WY,2011,2770
AK,2012,3680
AL,2012,3370
AR,2012,3190
AZ,2012,3890
CA,2012,3510
CO,2012,4720
CT,2012,4170
DC,2012,10670
DE,2012,4090
FL,2012,3630
GA,2012,4770
HI,2012,2690
IA,2012,4490
ID,2012,3920
IL,2012,4400
IN,2012,4070
KS,2012,4380
KY,2012,3500
LA,2012,3750
MA,2012,4860
MD,2012,4730
ME,2012,3970
MI,2012,4240
MN,2012,5020
MO,2012,4180
MS,2012,4130
MT,2012,3750
NC,2012,3420
ND,2012,4670
NE,2012,4200
NH,2012,4630
NJ,2012,4330
NM,2012,3360
NV,2012,2850
NY,2012,4770
OH,2012,4640
OK,2012,3580
OR,2012,4160
PA,2012,4600
PR,2012,1770
RI,2012,4060
SC,2012,4020
SD,2012,4290
TN,2012,3480
TX,2012,3610
UT,2012,3390
VA,2012,4030
VT,2012,4400
WA,2012,3380
WI,2012,3860
WV,2012,3290
WY,2012,3090
AK,2013,3630
AL,2013,3620
AR,2013,3440
AZ,2013,4030
CA,2013,3720
CO,2013,4910
CT,2013,4600
DC,2013,10880
DE,2013,4370
FL,2013,3840
GA,2013,5140
HI,2013,2920
IA,2013,4710
ID,2013,4260
IL,2013,4700
IN,2013,4300
KS,2013,4540
KY,2013,3670
LA,2013,4030
MA,2013,5170
MD,2013,5110
ME,2013,4210
MI,2013,4540
MN,2013,5310
MO,2013,4370
MS,2013,4250
MT,2013,3840
NC,2013,3750
ND,2013,4770
NE,2013,4300
NH,2013,4860
NJ,2013,4710
NM,2013,3490
NV,2013,2960
NY,2013,5060
OH,2013,5000
OK,2013,3730
OR,2013,4460
PA,2013,4890
PR,2013,1950
RI,2013,4410
SC,2013,4290
SD,2013,4250
TN,2013,3770
TX,2013,3740
UT,2013,3470
VA,2013,4320
VT,2013,4530
WA,2013,3540
WI,2013,4000
WV,2013,3490
WY,2013,3160
AK,2014,3640
AL,2014,3980
AR,2014,3720
AZ,2014,4310
CA,2014,3890
CO,2014,5150
CT,2014,4760
DC,2014,11260
DE,2014,4600
FL,2014,4090
GA,2014,5640
HI,2014,3010
IA,2014,4810
ID,2014,4360
IL,2014,4950
IN,2014,4540
KS,2014,4840
KY,2014,3940
LA,2014,4340
MA,2014,5310
MD,2014,5480
ME,2014,4450
MI,2014,4840
MN,2014,5550
MO,2014,4620
MS,2014,4630
MT,2014,4090
NC,2014,4010
ND,2014,4870
NE,2014,4510
NH,2014,5000
NJ,2014,4970
NM,2014,3550
NV,2014,3180
NY,2014,5190
OH,2014,5320
OK,2014,3840
OR,2014,4750
PA,2014,5140
PR,2014,2100
RI,2014,4650
SC,2014,4620
SD,2014,4340
TN,2014,4050
TX,2014,4000
UT,2014,3620
VA,2014,4680
VT,2014,4850
WA,2014,3710
WI,2014,4230
WV,2014,3780
WY,2014,3290
AK,2015,3610
AL,2015,4180
AR,2015,3830
AZ,2015,4470
CA,2015,4010
CO,2015,5300
CT,2015,5060
DC,2015,11780
DE,2015,4880
FL,2015,4220
GA,2015,5870
HI,2015,3150
IA,2015,4900
ID,2015,4560
IL,2015,5100
IN,2015,4700
KS,2015,4950
KY,2015,4170
LA,2015,4500
MA,2015,5630
MD,2015,5670
ME,2015,4760
MI,2015,4940
MN,2015,5730
MO,2015,4760
MS,2015,4880
MT,2015,4080
NC,2015,4280
ND,2015,5040
NE,2015,4710
NH,2015,5260
NJ,2015,5200
NM,2015,3620
NV,2015,3430
NY,2015,5330
OH,2015,5510
OK,2015,3940
OR,2015,4980
PA,2015,5350
PR,2015,2320
RI,2015,4780
SC,2015,4870
SD,2015,4710
TN,2015,4190
TX,2015,4180
UT,2015,3870
VA,2015,4850
VT,2015,5130
WA,2015,3860
WI,2015,4370
WV,2015,3800
WY,2015,3290
AK,2016,3660
AL,2016,4390
AR,2016,4100
AZ,2016,4690
CA,2016,4190
CO,2016,5630
CT,2016,5470
DC,2016,12200
DE,2016,5290
FL,2016,4480
GA,2016,6340
HI,2016,3240
IA,2016,5120
ID,2016,4690
IL,2016,5400
IN,2016,4900
KS,2016,5160
KY,2016,4390
LA,2016,4810
MA,2016,5830
MD,2016,6010
ME,2016,5050
MI,2016,5280
MN,2016,5980
MO,2016,5000
MS,2016,5210
MT,2016,4000
NC,2016,4650
ND,2016,4910
NE,2016,4850
NH,2016,5580
NJ,2016,5530
NM,2016,3760
NV,2016,3620
NY,2016,5550
OH,2016,5780
OK,2016,4100
OR,2016,5260
PA,2016,5660
PR,2016,2620
RI,2016,4940
SC,2016,5240
SD,2016,4890
TN,2016,4520
TX,2016,4460
UT,2016,4100
VA,2016,5230
VT,2016,5250
WA,2016,4030
WI,2016,4580
WV,2016,3920
WY,2016,3300
AK,2017,3740
AL,2017,4610
AR,2017,4170
AZ,2017,4890
CA,2017,4330
CO,2017,5840
CT,2017,5660
DC,2017,12380
DE,2017,5590
FL,2017,4690
GA,2017,6750
HI,2017,3530
IA,2017,5150
ID,2017,4720
IL,2017,5590
IN,2017,5060
KS,2017,5300
KY,2017,4640
LA,2017,5020
MA,2017,5980
MD,2017,6260
ME,2017,5270
MI,2017,5490
MN,2017,6100
MO,2017,5140
MS,2017,5510
MT,2017,4360
NC,2017,4950
ND,2017,5240
NE,2017,5000
NH,2017,5900
NJ,2017,5720
NM,2017,3810
NV,2017,3790
NY,2017,5810
OH,2017,5980
OK,2017,4300
OR,2017,5430
PA,2017,5910
PR,2017,NA
RI,2017,4910
SC,2017,5500
SD,2017,5020
TN,2017,4760
TX,2017,4700
UT,2017,4230
VA,2017,5550
VT,2017,5620
WA,2017,4110
WI,2017,4750
WV,2017,4070
WY,2017,3270
AK,2018,4030
AL,2018,4920
AR,2018,4330
AZ,2018,5170
CA,2018,4530
CO,2018,6180
CT,2018,5890
DC,2018,13320
DE,2018,6040
FL,2018,4940
GA,2018,7250
HI,2018,3780
IA,2018,5300
ID,2018,5050
IL,2018,5800
IN,2018,5300
KS,2018,5480
KY,2018,4870
LA,2018,5360
MA,2018,6140
MD,2018,6740
ME,2018,5340
MI,2018,5800
MN,2018,6280
MO,2018,5270
MS,2018,5870
MT,2018,4670
NC,2018,5240
ND,2018,5510
NE,2018,5080
NH,2018,5860
NJ,2018,6090
NM,2018,4070
NV,2018,4170
NY,2018,6090
OH,2018,6220
OK,2018,4540
OR,2018,5760
PA,2018,6210
PR,2018,NA
RI,2018,5390
SC,2018,5870
SD,2018,5170
TN,2018,5050
TX,2018,4970
UT,2018,4350
VA,2018,5820
VT,2018,5480
WA,2018,4270
WI,2018,4850
WV,2018,4020
WY,2018,3610
